player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,latitude,longitude,general_position
198350,https://sofifa.com/player/198350/daniel-bentley/220002,22.0,2.0,2021-09-23,D. Bentley,Daniel Bentley,GK,73,75,2800000.0,21000.0,27,1993-07-13,188,72,1919.0,Bristol City,14.0,Championship,2.0,GK,1.0,,2019-06-28,2022.0,14,England,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,5500000.0,,GK Long Throw,,,,,,,18,11,11,44,13,17,12,12,23,30,48,43,51,72,41,51,75,31,68,13,24,22,12,49,22,55.0,30,11,13,77,66,68,72,73,46.0,30+2,30+2,30+2,31,32,32,32,31,34+2,34+2,34+2,32+2,33+2,33+2,33+2,32+2,30+2,32+2,32+2,32+2,30+2,29+2,30+2,30+2,30+2,29+2,72+2,51.509865,-0.118092,GK
223159,/player/223159/rob-dickie/240002,24.0,2.0,2023-09-22,R. Dickie,Robert Dickie,CB,72,75,2700000.0,22000.0,27,1996-03-03,195,74,1919.0,Bristol City,14.0,Championship,2.0,LCB,16.0,,2023-06-14,2026.0,14,England,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,5300000.0,,"Power Header, Long Ball Pass",55.0,44.0,52.0,58.0,72.0,78.0,51,32,68,67,26,55,27,35,60,64,54,55,48,69,50,65,83,75,82,58,68,70,29,31,49,63.0,72,73,73,12,7,11,7,7,,53+2,53+2,53+2,52,52,52,52,52,52+2,52+2,52+2,54+2,58+2,58+2,58+2,54+2,66+2,68+2,68+2,68+2,66+2,67+2,72+2,72+2,72+2,67+2,15+2,51.509865,-0.118092,DEF
189403,https://sofifa.com/player/189403/nathan-baker/160002,16.0,2.0,2015-09-21,N. Baker,Nathan Baker,CB,72,76,2400000.0,20000.0,24,1991-04-23,189,82,1919.0,Bristol City,14.0,Championship,2.0,SUB,17.0,Aston Villa,,2016.0,14,England,,,,Left,2,2,1,Low/High,Normal (185+),Yes,,,"Injury Prone, Dives Into Tackles (AI)",54.0,34.0,38.0,35.0,75.0,75.0,44,30,72,41,30,26,41,20,40,39,52,55,46,67,48,61,70,60,79,19,86,71,23,27,35,,72,78,82,11,6,14,9,11,,45,45,45,38,38,38,38,38,36,36,36,40,42,42,42,40,59,60,60,60,59,63,72,72,72,63,16,51.509865,-0.118092,DEF
183454,https://sofifa.com/player/183454/eros-pisano/180002,18.0,2.0,2017-09-18,E. Pisano,Eros Pisano,RB,72,72,2200000.0,30000.0,30,1987-03-31,185,83,1919.0,Bristol City,14.0,Championship,2.0,RB,2.0,,2017-07-01,2019.0,27,Italy,,,,Right,3,2,1,High/Medium,Normal (185+),No,4300000.0,,Power Header,70.0,43.0,59.0,65.0,72.0,77.0,70,27,73,65,47,65,63,40,61,64,66,73,71,70,62,66,75,78,79,50,71,71,59,39,55,69.0,71,73,75,12,7,15,7,13,,59+1,59+1,59+1,60,58,58,58,60,58+1,58+1,58+1,62+1,61+1,61+1,61+1,62+1,71+1,68+1,68+1,68+1,71+1,71+1,72,72,72,71+1,17+1,41.871941,12.56738,DEF
189403,https://sofifa.com/player/189403/nathan-baker/180002,18.0,2.0,2017-09-18,N. Baker,Nathan Baker,CB,72,74,3100000.0,30000.0,26,1991-04-23,189,82,1919.0,Bristol City,14.0,Championship,2.0,LCB,6.0,,2017-07-28,2021.0,14,England,,,,Left,2,2,1,Low/High,Normal (185+),Yes,6200000.0,,"Injury Prone, Dives Into Tackles (AI)",53.0,34.0,38.0,35.0,72.0,78.0,44,30,72,41,30,26,41,20,40,39,52,53,46,67,48,61,70,64,82,19,86,71,23,27,35,46.0,72,73,74,11,6,14,9,11,,45+1,45+1,45+1,38,38,38,38,38,36+1,36+1,36+1,40+1,42+1,42+1,42+1,40+1,58+1,60+1,60+1,60+1,58+1,62+1,71+1,71+1,71+1,62+1,16+1,51.509865,-0.118092,DEF
193768,https://sofifa.com/player/193768/adam-matthews/170002,17.0,2.0,2016-09-20,A. Matthews,Adam James Matthews,RB,72,76,2300000.0,30000.0,24,1992-01-13,178,71,1919.0,Bristol City,14.0,Championship,2.0,RB,27.0,Sunderland,,2017.0,50,Wales,,,,Right,3,2,1,High/Medium,Normal (170-185),No,,,"Long Throw-in, Injury Prone, Avoids Using Weaker Foot",78.0,53.0,69.0,70.0,70.0,70.0,73,43,58,70,43,69,73,52,67,70,79,78,76,71,73,69,71,72,70,62,66,70,63,69,50,70.0,71,71,71,6,15,12,6,14,,63+1,63+1,63+1,68,66,66,66,68,68+1,68+1,68+1,69+1,68+1,68+1,68+1,69+1,72+1,70+1,70+1,70+1,72+1,71+1,69+1,69+1,69+1,71+1,17+1,52.130661,-3.783712,DEF
223283,https://sofifa.com/player/223283/famara-diedhiou/200002,20.0,2.0,2019-09-19,F. Diédhiou,Famara Diédhiou,ST,72,75,3900000.0,33000.0,26,1992-12-15,189,80,1919.0,Bristol City,14.0,Championship,2.0,ST,9.0,,2017-06-28,2021.0,136,Senegal,,,,Right,2,3,1,Medium/Medium,Normal (185+),No,7800000.0,,,60.0,70.0,46.0,66.0,31.0,73.0,33,73,79,57,63,66,53,33,35,68,53,65,60,64,58,76,60,56,87,58,63,22,78,50,75,61.0,35,22,16,7,10,15,11,12,,71+2,71+2,71+2,62,66,66,66,62,62+2,62+2,62+2,59+2,54+2,54+2,54+2,59+2,43+2,44+2,44+2,44+2,43+2,42+2,46+2,46+2,46+2,42+2,16+2,0.0,0.0,FWD
230936,https://sofifa.com/player/230936/adam-nagy/210002,21.0,2.0,2020-09-23,Á. Nagy,Ádám Nagy,"CM, CDM",72,77,3400000.0,29000.0,25,1995-06-17,178,70,1919.0,Bristol City,14.0,Championship,2.0,SUB,4.0,,2019-08-08,2022.0,23,Hungary,1886.0,LDM,8.0,Right,5,3,1,Medium/High,Lean (170-185),No,8100000.0,,Playmaker (AI),68.0,54.0,73.0,75.0,70.0,60.0,72,48,54,76,68,73,74,62,75,76,68,68,79,72,79,58,56,73,52,58,63,74,64,71,58,76.0,73,72,67,10,7,6,10,14,,62+2,62+2,62+2,69,67,67,67,69,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,72+2,72+2,72+2,72+2,72+2,71+2,67+2,67+2,67+2,71+2,17+2,47.162494,19.503304,MID
201122,https://sofifa.com/player/201122/tomas-kalas/200002,20.0,2.0,2019-09-19,T. Kalas,Tomáš Kalas,CB,72,76,3500000.0,27000.0,26,1993-05-15,183,80,1919.0,Bristol City,14.0,Championship,2.0,RCB,22.0,,2019-07-01,2023.0,12,Czech Republic,1330.0,SUB,6.0,Right,3,2,1,Medium/High,Normal (170-185),No,7000000.0,,,73.0,49.0,53.0,63.0,71.0,74.0,51,38,73,68,24,61,25,18,50,64,71,74,67,70,68,66,82,74,76,65,66,69,46,48,53,69.0,69,72,73,8,8,9,7,7,,59+2,59+2,59+2,59,59,59,59,59,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,68+2,67+2,67+2,67+2,68+2,69+2,71+2,71+2,71+2,69+2,14+2,49.817492,15.472962,DEF
198810,https://sofifa.com/player/198810/bailey-wright/190002,19.0,2.0,2018-08-21,B. Wright,Bailey Colin Wright,"CB, RB",72,75,3300000.0,30000.0,25,1992-07-28,184,79,1919.0,Bristol City,14.0,Championship,2.0,SUB,5.0,,2017-01-06,2019.0,195,Australia,1415.0,SUB,4.0,Right,3,2,1,Medium/Medium,Normal (170-185),No,6500000.0,,"Leadership, Power Header",63.0,39.0,52.0,57.0,70.0,80.0,55,39,70,62,22,51,36,27,44,64,64,63,60,65,63,46,82,72,82,36,83,68,39,46,39,64.0,69,71,70,13,10,15,15,16,,53+1,53+1,53+1,54,53,53,53,54,53+1,53+1,53+1,56+1,56+1,56+1,56+1,56+1,65+1,65+1,65+1,65+1,65+1,66+1,71+1,71+1,71+1,66+1,19+1,-25.274398,133.775136,DEF
